pp_id,unique_id,age,gender_str,gender_code,L1_str,L1_code,handedness_str,handedness_code,musicality_question_1,musicality_question_2,musicality_question_3,musicality_question_4,musicality_question_5,musicality_question_6,musicality_question_7,musicality_question_8,musicality_calculated,n_resampled,failed_training,n_training_rounds_needed
100,7681908,23.0,vrouw,,Nederlands,,right,,20,4.0,2.0,4.0,1.0,3.0,5,3,,0,True,2
46,7716177,20.0,Vrouw,,Nederlands,,right,,20,4.0,1.0,3.0,1.0,1.0,,,,1,True,1
9,7728608,,,,,,,,,,,,,,,,,0,False,1
92,7728910,23.0,man,,Nederlands,,left,,40,5.0,2.0,3.0,1.0,1.0,,,,0,False,1
313,7736028,58.0,v,,Nederlands,,right,,2,2.0,4.0,3.0,4.0,4.0,38,0,,0,True,1
124,7750453,,,,,,,,,,,,,,,,,0,False,1
145,7767024,19.0,Vrouw,,Nederlands,,right,,10,4.0,1.0,3.0,1.0,1.0,,,,0,True,2
70,7777232,21.0,vrouw,,Nederlands,,right,,21,2.0,1.0,2.0,1.0,1.0,,,,1,False,2
289,7778059,26.0,Man,,Nederlands,,right,,45,4.0,3.0,3.0,3.0,3.0,7,0,,1,True,1
108,7799697,,,,,,,,,,,,,,,,,0,False,1
160,7818683,22.0,vrouw,,Nederlands,,right,,30,4.0,1.0,1.0,1.0,1.0,,,,0,True,1
56,7831879,23.0,Vrouw,,Nederlands,,right,,30,5.0,1.0,2.0,1.0,1.0,,,,0,False,1
208,7840354,,,,,,,,,,,,,,,,,0,False,1
114,7858196,23.0,Vrouw,,Nederlands,,right,,14,3.0,2.0,2.0,3.0,4.0,8,5,,0,True,1
192,7863178,,,,,,,,,,,,,,,,,1,False,1
86,7876742,35.0,man,,Nederlands,,right,,6,3.0,1.0,2.0,1.0,1.0,,,,0,True,2
226,7888444,,,,,,,,,,,,,,,,,0,False,1
218,7922404,29.0,Vrouw,,Nederlands,,left,,20,3.0,2.0,2.0,2.0,2.0,3,0,,0,False,3
11,7927803,21.0,Vrouw,,Nederlands,,right,,3,4.0,2.0,4.0,2.0,1.0,,,,0,True,1
90,7947344,18.0,vrouw,,Nederlands,,right,,15,3.0,1.0,2.0,2.0,2.0,7,3,,0,True,4
204,7962194,67.0,vrouw,,Nederlands,,left,,6,4.0,1.0,3.0,1.0,3.0,,,,2,True,1
228,7987110,27.0,vrouw,,Dari,,right,,20,4.0,1.0,3.0,1.0,1.0,,,,0,True,4
249,8003778,,,,,,,,,,,,,,,,,1,False,1
189,8017832,,,,,,,,,,,,,,,,,1,False,1
55,8040879,21.0,man,,Nederlands,,right,,3,3.0,1.0,4.0,2.0,1.0,,,,0,False,2
94,8044638,30.0,Vrouw,,Nederlands,,right,,8,2.0,1.0,3.0,2.0,2.0,3,0,,0,True,1
266,8059533,60.0,vrouw,,Nederlands,,right,,10,4.0,2.0,2.0,2.0,2.0,5,0,,1,True,4
6,8129932,25.0,Vrouw,,Nederlands,,right,,8,2.0,4.0,2.0,3.0,4.0,10,0.5,,0,True,1
307,8184083,,,,,,,,,,,,,,,,,0,False,1
53,8235393,18.0,Vrouw,,Nederlands,,right,,20,3.0,4.0,2.0,4.0,4.0,6,,,0,True,2
288,8238861,23.0,vrouw,,Nederlands,,right,,5,3.0,2.0,4.0,2.0,2.0,2,0,,0,True,1
193,8244288,53.0,vrouw,,nederlands,,right,,12,4.0,1.0,2.0,1.0,1.0,,,,0,False,3
201,8284455,34.0,vrouw,,Nederlands,,right,,8,2.0,4.0,2.0,3.0,3.0,4,0,,0,False,3
39,8313768,22.0,Man,,Nederlands,,right,,30,4.0,1.0,2.0,1.0,1.0,,,,1,True,2
123,8317112,,,,,,,,,,,,,,,,,0,False,1
156,8359684,18.0,vrouw,,Nederlands,,right,,12,5.0,3.0,2.0,1.0,4.0,7,4,,0,True,1
