pp_id,unique_id,age,gender_str,gender_code,L1_str,L1_code,handedness_str,handedness_code,musicality_question_1,musicality_question_2,musicality_question_3,musicality_question_4,musicality_question_5,musicality_question_6,musicality_question_7,musicality_question_8,musicality_calculated,n_resampled,failed_training,n_training_rounds_needed
158,4341396,20.0,Vrouw,,Nederlands,,right,,10,3.0,4.0,3.0,4.0,4.0,12,0.5,,0,True,2
291,4371015,60.0,vrouw,,Nederlands,,right,,2,4.0,1.0,2.0,1.0,4.0,,,,0,True,1
246,4431621,44.0,vrouw,,Nederlands,,right,,3,3.0,1.0,3.0,3.0,1.0,,,,0,True,1
162,4443103,24.0,Vrouw,,Nederlands,,left,,21,4.0,3.0,2.0,3.0,4.0,1,2,,0,True,1
134,4445540,,,,,,,,,,,,,,,,,0,False,1
60,4494763,36.0,mannelijk,,Nederlands,,right,,20,4.0,3.0,2.0,3.0,2.0,5,0,,0,True,1
170,4542729,65.0,man,,nederlands,,right,,14,3.0,2.0,2.0,4.0,3.0,40,,,0,True,1
151,4546157,26.0,M,,Nederlands,,right,,7,5.0,2.0,3.0,1.0,1.0,,,,1,False,3
34,4553795,,,,,,,,,,,,,,,,,0,False,1
272,4568891,25.0,vrouw,,nederlands,,right,,12,4.0,2.0,3.0,1.0,1.0,,,,0,True,2
29,4575917,29.0,vrouw,,Nederlands,,left,,10,4.0,1.0,3.0,2.0,1.0,,,,0,True,2
233,4633276,26.0,vrouw,,Pools,,right,,4,3.0,1.0,2.0,2.0,1.0,,,,0,True,1
217,4665396,28.0,Vrouw,,Nederlands,,right,,15,4.0,1.0,3.0,2.0,1.0,,,,0,True,1
253,4679573,,,,,,,,,,,,,,,,,1,False,2
96,4680779,21.0,v,,Nederlands,,right,,7,4.0,1.0,1.0,2.0,4.0,4,0,,0,True,2
268,4704058,19.0,vrouw,,nederlands,,right,,18,4.0,4.0,3.0,4.0,4.0,3.5,1,,1,True,1
66,4704872,24.0,vrouw,,Nederlands,,right,,8,4.0,2.0,2.0,4.0,3.0,10,3,,1,True,1
293,4733780,,,,,,,,,,,,,,,,,0,False,1
91,4734515,30.0,Vrouw,,Nederlands,,right,,8,4.0,1.0,2.0,1.0,1.0,,,,0,True,2
154,4737993,18.0,vrouw,,nederlands,,right,,30,3.0,4.0,2.0,4.0,3.0,6,3,,0,True,1
20,4765891,21.0,Man,,Nederlands,,right,,35,4.0,1.0,2.0,1.0,4.0,13,2,,0,True,1
21,4807542,24.0,Vrouw,,Nederlands,,right,,15,3.0,3.0,2.0,4.0,1.0,,,,0,True,2
120,4809295,23.0,V,,Nederlands,,right,,18,2.0,4.0,2.0,2.0,1.0,,,,0,True,1
252,4865911,,,,,,,,,,,,,,,,,0,False,1
113,4879711,21.0,vrouw,,Nederlands,,right,,26,2.0,2.0,1.0,1.0,1.0,,,,0,True,1
177,4919840,28.0,vrouw,,Nederlands,,right,,15,4.0,3.0,1.0,4.0,4.0,10,0,,1,True,1
138,4951678,,,,,,,,,,,,,,,,,0,False,1
93,4960547,26.0,man,,nederlands,,right,,18,5.0,5.0,1.0,5.0,5.0,10,10,,0,True,2
13,5016034,21.0,vrouw,,Nederlands,,left,,14,2.0,1.0,4.0,2.0,1.0,,,,1,True,2
190,5061168,21.0,vrouw,,Nederlands,,right,,30,3.0,1.0,2.0,1.0,1.0,,,,2,True,1
2,5119684,28.0,Vrouw,,Nederlands,,right,,30,3.0,1.0,2.0,1.0,1.0,,,,0,True,2
175,5140667,23.0,Vrouw,,Nederlands,,right,,14,2.0,3.0,4.0,3.0,2.0,5,0,,1,False,2
17,5141847,21.0,vrouw,,nederlands,,right,,10,2.0,1.0,4.0,1.0,1.0,,,,0,True,2
194,5178627,72.0,Man,,Nederlands,,right,,1,2.0,2.0,2.0,2.0,3.0,15,1,,0,False,2
216,5285921,24.0,Man,,Nederlands,,right,,20,3.0,1.0,2.0,2.0,1.0,,,,0,True,1
274,5304230,29.0,Female,,Chinese,,right,,18,1.0,2.0,1.0,2.0,1.0,,,,0,True,1
207,5359598,,,,,,,,,,,,,,,,,0,False,1
166,5399295,,,,,,,,,,,,,,,,,0,False,1
32,5413270,25.0,Vrouw,,Nederlands,,right,,7,5.0,5.0,2.0,4.0,4.0,7,0,,0,True,3
197,5416303,56.0,vrouw,,nederlands,,right,,21,4.0,1.0,2.0,1.0,1.0,,,,0,False,3
16,5433492,21.0,vrouw,,Nederlands,,right,,10,2.0,1.0,4.0,1.0,1.0,,,,0,True,2
299,5456604,,,,,,,,,,,,,,,,,0,False,1
179,5467184,20.0,vrouw,,Nederlands,,right,,9.5,4.0,5.0,3.0,3.0,4.0,10,0,,2,True,3
251,5518359,23.0,vrouw,,nederlands,,right,,40,4.0,2.0,4.0,2.0,1.0,,,,0,False,1
267,5518540,23.0,Vrouw,,Nederlands,,right,,7,3.0,1.0,3.0,1.0,1.0,,,,0,True,1
264,5593795,62.0,vrouw,,Nederlands,,right,,50,3.0,1.0,2.0,1.0,1.0,,,,0,True,3
180,5660268,74.0,vrouw,,Nederlands,,left,,12.5,5.0,3.0,2.0,3.0,3.0,0,0,,0,False,2
115,5688774,30.0,vrouw,,nederlands,,right,,4,3.0,1.0,3.0,1.0,1.0,,,,0,False,3
10,5699398,24.0,Vrouw,,Nederlands,,right,,3,4.0,1.0,1.0,4.0,4.0,10,0,,1,True,1
42,5749346,47.0,vrouw,,nederlands,,right,,14,4.0,2.0,3.0,2.0,2.0,5,1,,0,False,1
87,5770006,,,,,,,,,,,,,,,,,0,False,1
33,5794876,23.0,Vrouw,,Nederlands,,right,,8,4.0,1.0,4.0,3.0,4.0,8,0,,0,True,2
223,5795108,28.0,Man,,Nederlands,,right,,35,2.0,1.0,2.0,1.0,1.0,,,,0,True,1
301,5825546,23.0,Vrouw,,Nederlands,,right,,5,3.0,2.0,3.0,1.0,1.0,,,,0,True,1
308,5835442,,,,,,,,,,,,,,,,,1,False,1
44,5873330,29.0,Vrouw,,Nederlands,,right,,100,4.0,4.0,1.0,4.0,4.0,7,0.5,,0,True,1
146,5883096,22.0,Man,,Nederlands,,right,,8,2.0,1.0,2.0,2.0,3.0,1.5,2,,0,True,1
62,5895935,20.0,Vrouw,,Nederlands,,right,,90,2.0,1.0,2.0,1.0,1.0,,,,0,True,1
