pp_id,stim_id,type_code,condition,tempo,length,sigma_fraction,onsets_input,stim_duration,markers_ok,markers_status,markers_max_difference,is_failed,failed_reason,n_taps_raw_all,n_taps_aligned_all,n_taps_aligned_noblindtaps,n_taps_aligned_blindtaps,n_bad_taps,asyncs,asyncs_mean_all,asyncs_mean_noblindtaps,asyncs_mean_blindtaps,asyncs_sd_all,asyncs_sd_noblindtaps,asyncs_sd_blindtaps,stim_onsets_detected,resp_onsets_aligned,resp_ioi
102,1,15,jittering,400,35,0.2,"[0.0, 347.33477256457354, 768.5564958810213, 1167.2157414858525, 1572.0219574940918, 2061.6269318386103, 2318.4642877292677, 2878.3108044550772, 3243.5680629845356, 3567.638131533781, 4052.0245793193076, 4453.128729075165, 4724.447152480673, 5130.086684863794, 5633.973983283521, 5972.380926527999, 6329.180924395488, 6877.786789865518, 7178.434487724967, 7586.459583727392, 7999.231463200202, 8410.820006474687, 8715.662201641391, 9178.25718989752, 9542.13056911032, 9999.921561953777, 10441.569556280649, 10824.34708376542, 11167.60814707818, 11589.497930333824, 12016.194359014708, 12430.352154932896, 12664.368442868836, 13247.53643560759, 13600.0, 14000.0, 14400.0, 14800.0, 15200.0, 15600.0]",22.432375,False,Bad,1.488636363636033,True,Not all markers detected,35.0,34,29,5,1.0,"[nan, nan, nan, 93.24, 9.57, -75.04, 159.04, 149.42, 76.66, 79.86, 16.84, 47.33, 127.83, 24.91, -110.79, 119.44, 132.86, -18.92, -57.75, -17.82, -3.1, -15.82, 180.47, nan, -65.09, nan, 29.57, 37.47, 146.26, 160.05, 13.58, -38.53, 208.13, nan, -99.55, -82.27, -20.0, -17.05, -112.27, 13.41]",32.11537858730526,45.17602379828261,-43.63636363636341,88.84890186838186,87.89457005873912,46.3112449083223,"[3910.45, 4257.79, 4679.01, 5077.67, 5482.48, 5972.08, 6228.92, 6788.77, 7154.02, 7478.09, 7962.48, 8363.58, 8634.9, 9040.54, 9544.43, 9882.84, 10239.64, 10788.24, 11088.89, 11496.91, 11909.69, 12321.27, 12626.12, 13088.71, 13452.59, 13910.38, 14352.02, 14734.8, 15078.06, 15499.95, 15926.65, 16340.81, 16574.82, 17157.99, 17510.45, 17910.45, 18310.45, 18710.45, 19110.45, 19510.45]","[nan, nan, nan, 5170.91, 5492.05, 5897.05, 6387.95, 6938.18, 7230.68, 7557.95, 7979.32, 8410.91, 8762.73, 9065.45, 9433.64, 10002.27, 10372.5, 10769.32, 11031.14, 11479.09, 11906.59, 12305.45, 12806.59, nan, 13387.5, nan, 14381.59, 14772.27, 15224.32, 15660.0, 15940.23, 16302.27, 16782.95, nan, 17410.91, 17828.18, 18290.45, 18693.41, 18998.18, 19523.86]","[nan, nan, nan, nan, 321.14, 405.0, 490.91, 550.23, 292.5, 327.27, 421.36, 431.59, 351.82, 302.73, 368.18, 568.64, 370.23, 396.82, 261.82, 447.95, 427.5, 398.86, 501.14, nan, nan, nan, nan, 390.68, 452.05, 435.68, 280.23, 362.05, 480.68, nan, nan, 417.27, 462.27, 402.95, 304.77, 525.68]"
102,2,10,jittering,500,25,0.25,"[0.0, 570.9431318254985, 893.7110256459049, 1522.0191259531869, 2096.343569954182, 2510.8266518747373, 3011.779451777881, 3548.288329489053, 4070.471857127857, 4432.662535691873, 4959.605382680507, 5546.337938500936, 5999.811646373677, 6543.121184262332, 7022.7967119358955, 7377.0124546835195, 8070.11484649929, 8413.579353793375, 8864.005990053283, 9492.254065819421, 10065.569338135447, 10596.734850378225, 11009.347171037869, 11479.741088754632, 12000.0, 12500.0, 13000.0, 13500.0, 14000.0, 14500.0]",21.432375,True,Good,1.261363636363967,False,All good,29.0,26,23,3,3.0,"[nan, nan, 133.56, -71.34, -185.43, -78.33, -121.1, -154.42, -7.74, 24.84, 162.67, 81.16, 12.23, -13.58, -37.11, 48.44, -135.34, 55.06, 234.63, 17.52, -226.48, -92.87, 118.38, 175.71, 64.55, -85.68, -35.45, nan, 122.27, nan]",0.23608295575556654,0.2174692701428198,0.37878787878667214,115.85313766881198,118.94866082607413,88.59756985807549,"[3712.05, 4282.99, 4605.76, 5234.06, 5808.39, 6222.87, 6723.82, 7260.33, 7782.52, 8144.71, 8671.65, 9258.38, 9711.86, 10255.17, 10734.84, 11089.06, 11782.16, 12125.62, 12576.05, 13204.3, 13777.61, 14308.78, 14721.39, 15191.79, 15712.05, 16212.05, 16712.05, 17212.05, 17712.05, 18212.05]","[nan, nan, 4739.32, 5162.73, 5622.95, 6144.55, 6602.73, 7105.91, 7774.77, 8169.55, 8834.32, 9339.55, 9724.09, 10241.59, 10697.73, 11137.5, 11646.82, 12180.68, 12810.68, 13221.82, 13551.14, 14215.91, 14839.77, 15367.5, 15776.59, 16126.36, 16676.59, nan, 17834.32, nan]","[nan, nan, nan, 423.41, 460.23, 521.59, 458.18, 503.18, 668.86, 394.77, 664.77, 505.23, 384.55, 517.5, 456.14, 439.77, 509.32, 533.86, 630.0, 411.14, 329.32, 664.77, 623.86, 527.73, 409.09, 349.77, 550.23, nan, nan, nan]"
102,3,13,jittering,500,35,0.2,"[0.0, 648.5238385125115, 997.4368486479847, 1475.5741276739366, 1984.0571777555185, 2479.2478431483137, 3075.4828586282965, 3518.9365772680826, 4009.7666913672742, 4596.934869509192, 5026.345669479313, 5477.53543570216, 5916.253899429255, 6471.445543949263, 7043.912668905273, 7455.82921173405, 8037.813810387102, 8378.848395802132, 8962.495142530286, 9566.95524779614, 10075.729925843894, 10556.677941169088, 11064.519846803902, 11532.483732353003, 12071.960030084145, 12519.33051871581, 12864.780520215207, 13501.836953748896, 13989.461582482909, 14590.432748166588, 14983.825688850093, 15509.563230526137, 16047.223099486335, 16532.733117735348, 17000.0, 17500.0, 18000.0, 18500.0, 19000.0, 19500.0]",26.432375,True,Good,1.488636363639671,False,All good,38.0,37,33,4,1.0,"[nan, nan, 130.06, 67.15, -81.33, -40.61, -154.12, -69.85, -188.4, -141.48, -147.48, 23.15, 28.29, -27.81, -19.37, 45.31, -256.45, 34.56, -160.45, -192.18, -89.37, -136.68, -153.61, -52.94, -126.05, 46.35, 38.4, -54.56, -53.33, -189.98, 81.4, -137.52, -106.54, -13.19, -24.32, 52.5, nan, -51.59, -220.23, -120.91]",-66.57184401681614,-64.33124108772529,-85.05681818181583,93.93284821577338,92.9865303809432,99.4965860486203,"[3746.82, 4395.34, 4744.26, 5222.39, 5730.88, 6226.07, 6822.3, 7265.75, 7756.58, 8343.75, 8773.16, 9224.35, 9663.07, 10218.26, 10790.73, 11202.65, 11784.63, 12125.67, 12709.31, 13313.77, 13822.55, 14303.5, 14811.34, 15279.3, 15818.78, 16266.15, 16611.6, 17248.66, 17736.28, 18337.25, 18730.64, 19256.38, 19794.04, 20279.55, 20746.82, 21246.82, 21746.82, 22246.82, 22746.82, 23246.82]","[nan, nan, 4874.32, 5289.55, 5649.55, 6185.45, 6668.18, 7195.91, 7568.18, 8202.27, 8625.68, 9247.5, 9691.36, 10190.45, 10771.36, 11247.95, 11528.18, 12160.23, 12548.86, 13121.59, 13733.18, 14166.82, 14657.73, 15226.36, 15692.73, 16312.5, 16650.0, 17194.09, 17682.95, 18147.27, 18812.05, 19118.86, 19687.5, 20266.36, 20722.5, 21299.32, nan, 22195.23, 22526.59, 23125.91]","[nan, nan, nan, 415.23, 360.0, 535.91, 482.73, 527.73, 372.27, 634.09, 423.41, 621.82, 443.86, 499.09, 580.91, 476.59, 280.23, 632.05, 388.64, 572.73, 611.59, 433.64, 490.91, 568.64, 466.36, 619.77, 337.5, 544.09, 488.86, 464.32, 664.77, 306.82, 568.64, 578.86, 456.14, 576.82, nan, nan, 331.36, 599.32]"
102,4,5,sampling,500,35,0.2,"[0.0, 358.80840104446173, 887.0452608786054, 1355.1195604440618, 1855.2933724256318, 2305.6091002935773, 2798.768724939744, 3301.7437358427546, 3774.4325967350396, 4462.425514975392, 4909.784132890877, 5562.387415430966, 6048.412583908106, 6567.85971929749, 7065.564333061462, 7647.0634447216, 8194.558862550974, 8675.944422778606, 9120.989524198856, 9712.432837693184, 10288.14187073285, 10686.466789177155, 11302.59548573562, 11786.097271611978, 12252.037212037312, 12635.916175976992, 13221.623801082915, 13809.135950348142, 14147.030558119961, 14656.196954695068, 15089.49144326787, 15627.966864975053, 16139.395960836986, 16517.241866832224, 17000.0, 17500.0, 18000.0, 18500.0, 19000.0, 19500.0]",26.432375,True,Good,1.3977272727279342,False,All good,38.0,37,33,4,1.0,"[nan, nan, -214.64, 0.47, -82.43, -15.25, -89.09, -84.79, -76.8, -314.79, -27.83, -224.3, 30.13, -49.54, -60.43, -61.02, -74.65, -169.44, 33.92, -144.34, -63.46, 45.49, -147.23, -27.32, 71.28, 121.04, 1.69, -88.77, 72.42, -29.7, -154.13, -111.69, -21.76, 13.58, -51.91, -249.18, nan, -116.0, -86.23, -216.0]",-71.9643902542207,-60.46282874233553,-166.8522727272733,94.60684699312323,90.87230130694189,67.60177034914794,"[3700.77, 4059.58, 4587.82, 5055.89, 5556.07, 6006.38, 6499.54, 7002.52, 7475.21, 8163.2, 8610.56, 9263.16, 9749.19, 10268.63, 10766.34, 11347.84, 11895.33, 12376.72, 12821.76, 13413.21, 13988.91, 14387.24, 15003.37, 15486.87, 15952.81, 16336.69, 16922.4, 17509.91, 17847.8, 18356.97, 18790.26, 19328.74, 19840.17, 20218.01, 20700.77, 21200.77, 21700.77, 22200.77, 22700.77, 23200.77]","[nan, nan, 4373.18, 5056.36, 5473.64, 5991.14, 6410.45, 6917.73, 7398.41, 7848.41, 8582.73, 9038.86, 9779.32, 10219.09, 10705.91, 11286.82, 11820.68, 12207.27, 12855.68, 13268.86, 13925.45, 14432.73, 14856.14, 15459.55, 16024.09, 16457.73, 16924.09, 17421.14, 17920.23, 18327.27, 18636.14, 19217.05, 19818.41, 20231.59, 20648.86, 20951.59, nan, 22084.77, 22614.55, 22984.77]","[nan, nan, nan, 683.18, 417.27, 517.5, 419.32, 507.27, 480.68, 450.0, 734.32, 456.14, 740.45, 439.77, 486.82, 580.91, 533.86, 386.59, 648.41, 413.18, 656.59, 507.27, 423.41, 603.41, 564.55, 433.64, 466.36, 497.05, 499.09, 407.05, 308.86, 580.91, 601.36, 413.18, 417.27, 302.73, nan, nan, 529.77, 370.23]"
102,5,16,jittering,400,35,0.25,"[0.0, 464.83754603624993, 814.667828350988, 1212.742030940928, 1594.9446193917536, 1891.104858960628, 2492.26423999398, 2797.676230970553, 3225.4286118650043, 3650.909713170366, 4021.2815828160674, 4311.21062976679, 4926.170763688222, 5202.583600811551, 5646.91077298976, 5948.106196181805, 6447.352100333589, 6854.747055635214, 7231.094183744716, 7611.884142466034, 8038.099403714951, 8376.404459523033, 8734.471283169412, 9214.391517071626, 9626.643236198093, 10009.320665452238, 10445.636599980617, 10870.454826599806, 11194.989299187588, 11524.348244401877, 11963.35778979644, 12477.536474852008, 12946.96264989246, 13290.750002862826, 13600.0, 14000.0, 14400.0, 14800.0, 15200.0, 15600.0]",22.432375,True,Good,1.488636363636033,False,All good,35.0,27,23,4,8.0,"[nan, nan, 143.06, nan, nan, 13.67, -129.31, 127.78, 117.3, 90.68, nan, nan, -45.26, 142.64, nan, 164.17, nan, 128.89, nan, -16.66, 5.08, nan, 75.76, 90.84, nan, -100.68, 21.41, -123.18, 90.24, nan, 121.64, -106.17, -82.64, -21.43, -44.32, -108.86, -32.27, nan, -138.86, -78.64]",11.290736358864255,28.847228057638862,-89.65909090908981,98.14738347240821,94.64606218412553,39.38463249618443,"[3779.55, 4244.38, 4594.21, 4992.29, 5374.49, 5670.65, 6271.81, 6577.22, 7004.97, 7430.46, 7800.83, 8090.76, 8705.72, 8982.13, 9426.46, 9727.65, 10226.9, 10634.29, 11010.64, 11391.43, 11817.64, 12155.95, 12514.02, 12993.94, 13406.19, 13788.87, 14225.18, 14650.0, 14974.53, 15303.89, 15742.9, 16257.08, 16726.51, 17070.3, 17379.55, 17779.55, 18179.55, 18579.55, 18979.55, 19379.55]","[nan, nan, 4737.27, nan, nan, 5684.32, 6142.5, 6705.0, 7122.27, 7521.14, nan, nan, 8660.45, 9124.77, nan, 9891.82, nan, 10763.18, nan, 11374.77, 11822.73, nan, 12589.77, 13084.77, nan, 13688.18, 14246.59, 14526.82, 15064.77, nan, 15864.55, 16150.91, 16643.86, 17048.86, 17335.23, 17670.68, 18147.27, nan, 18840.68, 19300.91]","[nan, nan, nan, nan, nan, nan, 458.18, 562.5, 417.27, 398.86, nan, nan, nan, 464.32, nan, nan, nan, nan, nan, nan, 447.95, nan, nan, 495.0, nan, nan, 558.41, 280.23, 537.95, nan, nan, 286.36, 492.95, 405.0, 286.36, 335.45, 476.59, nan, nan, 460.23]"
102,6,2,sampling,500,25,0.25,"[0.0, 447.4154397799715, 951.0241798622835, 1381.9372240942082, 2050.2538608179107, 2577.0548792551194, 3061.462169071712, 3491.3051202917914, 3986.808922272476, 4449.640992606579, 4897.742442986531, 5167.783973174285, 5778.378384893296, 6193.003409296024, 6693.176382066973, 7172.822263009198, 7492.061676482704, 8083.529273501399, 8707.336560234024, 9077.809209721938, 9580.401962807895, 10127.898721665488, 10535.464162014583, 11075.071674517754, 11500.0, 12000.0, 12500.0, 13000.0, 13500.0, 14000.0]",20.932375,True,Good,0.7840909090919013,False,All good,28.0,23,21,2,5.0,"[nan, nan, -91.48, 48.29, nan, -103.65, -15.33, 84.6, 47.28, 40.59, -137.52, 130.4, nan, 62.45, -94.09, -1.0, 99.07, -75.12, -226.43, -54.85, -29.72, -119.04, 60.44, -29.16, 38.86, 3.18, nan, -170.45, nan, nan]",-23.158842641353793,-17.399078737067125,-83.63636363636377,90.63042584433404,88.86388121486263,86.81818181818198,"[3892.05, 4339.46, 4843.07, 5273.98, 5942.3, 6469.1, 6953.51, 7383.35, 7878.85, 8341.69, 8789.79, 9059.83, 9670.42, 10085.05, 10585.22, 11064.87, 11384.11, 11975.57, 12599.38, 12969.85, 13472.45, 14019.94, 14427.51, 14967.12, 15392.05, 15892.05, 16392.05, 16892.05, 17392.05, 17892.05]","[nan, nan, 4751.59, 5322.27, nan, 6365.45, 6938.18, 7467.95, 7926.14, 8382.27, 8652.27, 9190.23, nan, 10147.5, 10491.14, 11063.86, 11483.18, 11900.45, 12372.95, 12915.0, 13442.73, 13900.91, 14487.95, 14937.95, 15430.91, 15895.23, nan, 16721.59, nan, nan]","[nan, nan, nan, 570.68, nan, nan, 572.73, 529.77, 458.18, 456.14, 270.0, 537.95, nan, nan, 343.64, 572.73, 419.32, 417.27, 472.5, 542.05, 527.73, 458.18, 587.05, 450.0, 492.95, 464.32, nan, nan, nan, nan]"
102,7,2,sampling,500,25,0.25,"[0.0, 447.64288107236024, 1020.2256273940111, 1495.3217209324732, 2254.2958147809386, 2748.3146430081565, 3197.0873038285995, 3689.7546817240323, 4081.687278230065, 4628.237946627509, 5144.004538753769, 5598.969125882033, 6198.766074706618, 6895.167760312131, 7347.596339130966, 7849.279314868563, 8270.105383845066, 9040.626609276293, 9550.79747579522, 10178.711899116326, 10735.781259580477, 11033.111084799551, 11583.19009823563, 12272.316003392822, 12500.0, 13000.0, 13500.0, 14000.0, 14500.0, 15000.0]",21.932375,True,Good,0.6818181818180165,False,All good,27.0,21,17,4,6.0,"[nan, nan, -107.5, 10.59, -261.57, 15.55, 69.96, nan, nan, 154.49, -19.69, -28.74, -94.68, nan, nan, -123.14, 43.08, -109.72, -0.12, -233.26, -53.96, nan, 205.22, 33.59, nan, 15.68, 76.14, nan, -144.55, -55.45]",-28.95601402714104,-29.40555743459666,-27.045454545454675,111.5458127698727,117.37029510064517,82.28826447966011,"[3665.0, 4112.64, 4685.23, 5160.32, 5919.3, 6413.31, 6862.09, 7354.75, 7746.69, 8293.24, 8809.0, 9263.97, 9863.77, 10560.17, 11012.6, 11514.28, 11935.11, 12705.63, 13215.8, 13843.71, 14400.78, 14698.11, 15248.19, 15937.32, 16165.0, 16665.0, 17165.0, 17665.0, 18165.0, 18665.0]","[nan, nan, 4577.73, 5170.91, 5657.73, 6428.86, 6932.05, nan, nan, 8447.73, 8789.32, 9235.23, 9769.09, nan, nan, 11391.14, 11978.18, 12595.91, 13215.68, 13610.45, 14346.82, nan, 15453.41, 15970.91, nan, 16680.68, 17241.14, nan, 18020.45, 18609.55]","[nan, nan, nan, 593.18, 486.82, 771.14, 503.18, nan, nan, nan, 341.59, 445.91, 533.86, nan, nan, nan, 587.05, 617.73, 619.77, 394.77, 736.36, nan, nan, 517.5, nan, nan, 560.45, nan, nan, 589.09]"
102,8,16,jittering,400,35,0.25,"[0.0, 312.62847066844404, 804.9581546700875, 1125.0411508273673, 1540.1565400708346, 1917.5271531191654, 2357.6713152257366, 2729.764206254948, 3118.1692182955994, 3658.1347159972033, 4054.167613630631, 4494.059696142162, 4763.728700840294, 5171.170070799355, 5688.4272744994705, 6019.775487422414, 6309.69969124646, 6724.996040915312, 7180.779040616739, 7645.148498557974, 8007.862224704532, 8474.09678629603, 8819.853403352852, 9212.986287065269, 9556.547035799882, 9991.022585339884, 10491.309844747182, 10772.342548561784, 11143.106939245865, 11496.464952880335, 12048.938619361026, 12449.78001036168, 12742.509687811822, 13061.392340172993, 13200.0, 13600.0, 14000.0, 14400.0, 14800.0, 15200.0]",22.032375,True,Good,1.3636363636364877,False,All good,37.0,33,28,5,4.0,"[nan, nan, nan, -97.77, nan, nan, -99.03, 36.14, -92.49, -141.54, -20.08, -20.2, -13.73, 65.65, -60.93, 82.27, 43.94, 27.5, -41.69, -17.19, -99.68, -103.64, 23.1, -10.03, 133.23, 48.52, -24.26, 101.75, 90.98, nan, -45.76, 79.08, 74.76, nan, 44.77, 15.0, -115.0, -73.18, -45.68, 110.68]",-4.378720752381398,-1.2969988088129958,-21.63636363636447,73.6204677708553,72.28462093181619,78.48848417927586,"[3910.45, 4223.08, 4715.41, 5035.5, 5450.61, 5827.98, 6268.13, 6640.22, 7028.62, 7568.59, 7964.62, 8404.51, 8674.18, 9081.62, 9598.88, 9930.23, 10220.15, 10635.45, 11091.23, 11555.6, 11918.32, 12384.55, 12730.31, 13123.44, 13467.0, 13901.48, 14401.76, 14682.8, 15053.56, 15406.92, 15959.39, 16360.23, 16652.96, 16971.85, 17110.45, 17510.45, 17910.45, 18310.45, 18710.45, 19110.45]","[nan, nan, nan, 4937.73, nan, nan, 6169.09, 6676.36, 6936.14, 7427.05, 7944.55, 8384.32, 8660.45, 9147.27, 9537.95, 10012.5, 10264.09, 10662.95, 11049.55, 11538.41, 11818.64, 12280.91, 12753.41, 13113.41, 13600.23, 13950.0, 14377.5, 14784.55, 15144.55, nan, 15913.64, 16439.32, 16727.73, nan, 17155.23, 17525.45, 17795.45, 18237.27, 18664.77, 19221.14]","[nan, nan, nan, nan, nan, nan, nan, 507.27, 259.77, 490.91, 517.5, 439.77, 276.14, 486.82, 390.68, 474.55, 251.59, 398.86, 386.59, 488.86, 280.23, 462.27, 472.5, 360.0, 486.82, 349.77, 427.5, 407.05, 360.0, nan, nan, 525.68, 288.41, nan, nan, 370.23, 270.0, 441.82, 427.5, 556.36]"
102,9,14,jittering,500,35,0.25,"[0.0, 499.1208466163186, 944.9199666971475, 1609.8391340186433, 1997.410361743479, 2409.3667154015557, 2934.1417030006182, 3588.3117397542815, 4016.7687974769296, 4384.688359024479, 4977.187111140797, 5478.334376394153, 5973.512669688691, 6506.893968489664, 6943.528608069047, 7523.015043361566, 7946.469261144065, 8636.196812797021, 8994.132031617457, 9721.621379370481, 9949.270178564851, 10408.130810477714, 11087.467527466993, 11556.65289396651, 11973.722155015186, 12422.349565065722, 13086.902874282412, 13493.698172718532, 14050.751625736462, 14363.510454296797, 15138.715486011566, 15511.256241478557, 16058.268602465754, 16799.128768899496, 17000.0, 17500.0, 18000.0, 18500.0, 19000.0, 19500.0]",26.432375,True,Good,1.488636363636033,False,All good,37.0,30,26,4,7.0,"[nan, nan, 160.08, -110.07, nan, -23.91, 3.59, -176.04, 50.05, 42.13, -90.14, nan, -69.88, -98.03, -25.35, -95.52, 43.53, nan, 37.0, -97.3, nan, -166.09, nan, -179.38, -13.49, 55.38, -177.58, -134.38, -139.16, 143.31, -251.44, 108.29, nan, 17.01, nan, 25.91, 104.77, 171.36, nan, -47.27]",-31.08748757044932,-45.66912901485379,63.693181818179674,109.6529395840821,106.01700812993069,82.19112838831091,"[3914.55, 4413.67, 4859.47, 5524.38, 5911.96, 6323.91, 6848.69, 7502.86, 7931.31, 8299.23, 8891.73, 9392.88, 9888.06, 10421.44, 10858.07, 11437.56, 11861.01, 12550.74, 12908.68, 13636.17, 13863.82, 14322.68, 15002.01, 15471.2, 15888.27, 16336.9, 17001.45, 17408.24, 17965.3, 18278.06, 19053.26, 19425.8, 19972.81, 20713.67, 20914.55, 21414.55, 21914.55, 22414.55, 22914.55, 23414.55]","[nan, nan, 5019.55, 5414.32, nan, 6300.0, 6852.27, 7326.82, 7981.36, 8341.36, 8801.59, nan, 9818.18, 10323.41, 10832.73, 11342.05, 11904.55, nan, 12945.68, 13538.86, nan, 14156.59, nan, 15291.82, 15874.77, 16392.27, 16823.86, 17273.86, 17826.14, 18421.36, 18801.82, 19534.09, nan, 20730.68, nan, 21440.45, 22019.32, 22585.91, nan, 23367.27]","[nan, nan, nan, 394.77, nan, nan, 552.27, 474.55, 654.55, 360.0, 460.23, nan, nan, 505.23, 509.32, 509.32, 562.5, nan, nan, 593.18, nan, nan, nan, nan, 582.95, 517.5, 431.59, 450.0, 552.27, 595.23, 380.45, 732.27, nan, nan, nan, nan, 578.86, 566.59, nan, nan]"
102,10,7,sampling,400,35,0.2,"[0.0, 389.8460557274453, 785.4827118575956, 1113.7857892695697, 1509.231499507738, 1893.6600518915102, 2271.979778059958, 2664.0359011394785, 2947.903433025886, 3412.0454166811314, 3765.0951857771233, 4193.107728952434, 4802.715402282083, 5222.032803149604, 5682.9971155585945, 6096.631152936544, 6531.883357101352, 7034.443612368221, 7401.520401812013, 7754.625541375264, 8099.836142670406, 8508.710046778366, 8847.073177258306, 9331.07251974248, 9758.50898781759, 10302.937428558158, 10870.841672578379, 11293.410221850385, 11653.849224676025, 11998.026801133514, 12510.765128398492, 12939.432781181104, 13346.2055556798, 13662.791064885176, 14000.0, 14400.0, 14800.0, 15200.0, 15600.0, 16000.0]",22.832375,True,Good,1.3636363636362603,False,All good,37.0,33,30,3,4.0,"[nan, nan, nan, nan, 78.5, 39.75, -37.89, 7.78, 102.32, -42.73, 17.4, -54.7, -171.35, -103.85, -98.45, -4.81, -39.16, -7.85, 73.03, -5.99, 25.16, -11.44, 126.79, -31.98, -11.46, -189.76, -207.43, -98.18, 58.88, 62.43, -98.49, -75.11, 2.89, 93.35, nan, nan, nan, -132.73, -131.82, -98.18]",-29.245345683466116,-20.078971160903794,-120.9090909090893,84.59523458475064,83.19797007584702,16.074893587727484,"[3926.82, 4316.66, 4712.3, 5040.6, 5436.05, 5820.48, 6198.8, 6590.85, 6874.72, 7338.86, 7691.91, 8119.93, 8729.53, 9148.85, 9609.82, 10023.45, 10458.7, 10961.26, 11328.34, 11681.44, 12026.65, 12435.53, 12773.89, 13257.89, 13685.33, 14229.76, 14797.66, 15220.23, 15580.67, 15924.84, 16437.58, 16866.25, 17273.02, 17589.61, 17926.82, 18326.82, 18726.82, 19126.82, 19526.82, 19926.82]","[nan, nan, nan, nan, 5514.55, 5860.23, 6160.91, 6598.64, 6977.05, 7296.14, 7709.32, 8065.23, 8558.18, 9045.0, 9511.36, 10018.64, 10419.55, 10953.41, 11401.36, 11675.45, 12051.82, 12424.09, 12900.68, 13225.91, 13673.86, 14040.0, 14590.23, 15122.05, 15639.55, 15987.27, 16339.09, 16791.14, 17275.91, 17682.95, nan, nan, nan, 18994.09, 19395.0, 19828.64]","[nan, nan, nan, nan, nan, 345.68, 300.68, 437.73, 378.41, 319.09, 413.18, 355.91, 492.95, 486.82, 466.36, 507.27, 400.91, 533.86, 447.95, 274.09, 376.36, 372.27, 476.59, 325.23, 447.95, 366.14, 550.23, 531.82, 517.5, 347.73, 351.82, 452.05, 484.77, 407.05, nan, nan, nan, nan, 400.91, 433.64]"
