pp_id,stim_id,type_code,condition,tempo,length,sigma_fraction,onsets_input,stim_duration,markers_ok,markers_status,markers_max_difference,is_failed,failed_reason,n_taps_raw_all,n_taps_aligned_all,n_taps_aligned_noblindtaps,n_taps_aligned_blindtaps,n_bad_taps,asyncs,asyncs_mean_all,asyncs_mean_noblindtaps,asyncs_mean_blindtaps,asyncs_sd_all,asyncs_sd_noblindtaps,asyncs_sd_blindtaps,stim_onsets_detected,resp_onsets_aligned,resp_ioi
213,1,11,jittering,400,25,0.2,"[0.0, 467.4046705649997, 833.7460208172547, 1166.4574326199058, 1672.9174240645036, 2048.786922715088, 2383.4371332229302, 2766.4072872579445, 3305.5400238528227, 3552.362155629583, 3974.681553189804, 4284.945159369209, 4840.817820167052, 5047.758617975153, 5648.76869219038, 5987.1262226713125, 6439.049241284652, 6751.521942300992, 7164.020156703152, 7571.077178258017, 7998.245388436308, 8323.491466544894, 8842.96808432851, 9128.849309723852, 9200.0, 9600.0, 10000.0, 10400.0, 10800.0, 11200.0]",18.032375,False,Bad,1.3636363636364877,True,Not all markers detected,28.0,26,21,5,2.0,"[nan, nan, nan, 20.36, -77.01, -56.06, -12.3, -27.09, -189.86, 140.14, 43.05, 125.51, -13.09, 148.15, 1.23, -26.22, 78.22, 7.11, 73.25, -94.49, 10.16, 75.6, -38.88, -22.03, nan, -49.32, -27.95, -14.77, -26.14, -37.5]",0.38803728123520315,7.893847023520591,-31.136363636363406,73.45004890952643,79.71427093935658,11.610055487797966,"[2912.27, 3379.68, 3746.02, 4078.73, 4585.19, 4961.06, 5295.71, 5678.68, 6217.81, 6464.63, 6886.95, 7197.22, 7753.09, 7960.03, 8561.04, 8899.4, 9351.32, 9663.79, 10076.29, 10483.35, 10910.52, 11235.76, 11755.24, 12041.12, 12112.27, 12512.27, 12912.27, 13312.27, 13712.27, 14112.27]","[nan, nan, nan, 4099.09, 4508.18, 4905.0, 5283.41, 5651.59, 6027.95, 6604.77, 6930.0, 7322.73, 7740.0, 8108.18, 8562.27, 8873.18, 9429.55, 9670.91, 10149.55, 10388.86, 10920.68, 11311.36, 11716.36, 12019.09, nan, 12462.95, 12884.32, 13297.5, 13686.14, 14074.77]","[nan, nan, nan, nan, 409.09, 396.82, 378.41, 368.18, 376.36, 576.82, 325.23, 392.73, 417.27, 368.18, 454.09, 310.91, 556.36, 241.36, 478.64, 239.32, 531.82, 390.68, 405.0, 302.73, nan, nan, 421.36, 413.18, 388.64, 388.64]"
213,2,1,sampling,500,25,0.2,"[0.0, 489.05038278161396, 1157.7438550198535, 1825.3392071851808, 2451.086468948685, 3057.000274223029, 3568.7150560570158, 4123.233893561743, 4333.01709768684, 4823.645475233124, 5339.36979532451, 5921.390238909141, 6559.511736417129, 7099.912324078924, 7592.18379735691, 8159.313238939743, 8778.358426244562, 9460.56962324829, 10159.776354235473, 10560.279862616046, 11030.586378648999, 11616.581314864745, 12068.167357607474, 12453.401080040361, 13000.0, 13500.0, 14000.0, 14500.0, 15000.0, 15500.0]",22.432375,True,Good,1.488636363639671,False,All good,27.0,23,20,3,4.0,"[nan, nan, nan, 106.02, 190.05, 181.41, 138.1, 49.95, nan, -130.92, -141.42, -142.53, -195.65, -196.05, 25.54, -62.95, -139.95, -228.98, -277.73, 58.13, -7.18, -10.22, 110.92, nan, -15.0, 117.05, nan, nan, -155.68, 137.95]",-25.613553599636738,-34.421495730491245,33.10606060606001,139.51948502646533,138.22722745012706,133.76582748365573,"[4106.82, 4595.87, 5264.56, 5932.16, 6557.9, 7163.82, 7675.53, 8230.05, 8439.84, 8930.46, 9446.19, 10028.21, 10666.33, 11206.73, 11699.0, 12266.13, 12885.18, 13567.39, 14266.59, 14667.1, 15137.4, 15723.4, 16174.99, 16560.22, 17106.82, 17606.82, 18106.82, 18606.82, 19106.82, 19606.82]","[nan, nan, nan, 6038.18, 6747.95, 7345.23, 7813.64, 8280.0, nan, 8799.55, 9304.77, 9885.68, 10470.68, 11010.68, 11724.55, 12203.18, 12745.23, 13338.41, 13988.86, 14725.23, 15130.23, 15713.18, 16285.91, nan, 17091.82, 17723.86, nan, nan, 18951.14, 19744.77]","[nan, nan, nan, nan, 709.77, 597.27, 468.41, 466.36, nan, nan, 505.23, 580.91, 585.0, 540.0, 713.86, 478.64, 542.05, 593.18, 650.45, 736.36, 405.0, 582.95, 572.73, nan, nan, 632.05, nan, nan, nan, 793.64]"
213,3,11,jittering,400,25,0.2,"[0.0, 504.04318623521374, 802.3385466732414, 1205.5284044947582, 1530.3765786055683, 1956.4911100154884, 2466.1714216527157, 2815.546754385461, 3232.2204905066733, 3574.1952648865254, 3928.0711727017288, 4394.100880510521, 4731.586088553849, 5223.690773467974, 5660.87076635366, 5967.929009283872, 6483.005234919502, 6751.126624266097, 7207.271485591057, 7594.087646475124, 8011.16524524012, 8417.679187345495, 8898.096403282336, 9201.790675441356, 9600.0, 10000.0, 10400.0, 10800.0, 11200.0, 11600.0]",18.432375,True,Good,1.4659090909080987,False,All good,28.0,23,18,5,5.0,"[nan, nan, nan, nan, nan, -229.67, -56.17, nan, nan, -163.97, -121.03, -184.1, -67.5, -170.96, -172.46, -56.11, -200.96, -35.44, -127.5, -99.09, -98.89, -124.95, -202.41, -33.61, -35.0, -109.77, -108.86, -110.0, -105.0, -112.27]",-118.51035134332693,-121.10161055485722,-109.18181818181783,55.57761508924304,62.56548028888057,2.3732322694923256,"[4143.64, 4647.68, 4945.97, 5349.16, 5674.01, 6100.13, 6609.81, 6959.18, 7375.86, 7717.83, 8071.71, 8537.74, 8875.22, 9367.33, 9804.51, 10111.57, 10626.64, 10894.76, 11350.91, 11737.72, 12154.8, 12561.32, 13041.73, 13345.43, 13743.64, 14143.64, 14543.64, 14943.64, 15343.64, 15743.64]","[nan, nan, nan, nan, nan, 5870.45, 6553.64, nan, nan, 7553.86, 7950.68, 8353.64, 8807.73, 9196.36, 9632.05, 10055.45, 10425.68, 10859.32, 11223.41, 11638.64, 12055.91, 12436.36, 12839.32, 13311.82, 13708.64, 14033.86, 14434.77, 14833.64, 15238.64, 15631.36]","[nan, nan, nan, nan, nan, nan, 683.18, nan, nan, nan, 396.82, 402.95, 454.09, 388.64, 435.68, 423.41, 370.23, 433.64, 364.09, 415.23, 417.27, 380.45, 402.95, 472.5, 396.82, 325.23, 400.91, 398.86, 405.0, 392.73]"
213,4,14,jittering,500,35,0.25,"[0.0, 387.577617988348, 1088.441275836607, 1325.6841559855573, 1961.8198786133971, 2373.7758487484884, 2948.826966170733, 3531.3634663723356, 4033.4898990103493, 4436.566496447601, 4943.910687942555, 5460.034830107385, 6111.342935124345, 6498.0400983591735, 6942.4584121323005, 7607.797014694457, 8027.874790786453, 8405.2948568208, 9075.31531512765, 9494.004911709071, 10005.134884077695, 10573.267858412213, 10947.061767793957, 11514.14039070088, 11776.218591001129, 12370.086279718214, 13108.376227390023, 13513.78988153966, 14011.357892816908, 14445.79140109324, 15017.329288490386, 15519.306569903194, 15986.685061075996, 16594.22336076476, 17000.0, 17500.0, 18000.0, 18500.0, 19000.0, 19500.0]",26.432375,False,Bad,0.0,True,Not all markers detected,36.0,25,25,0,11.0,"[29.09, 226.51, 51.33, nan, nan, nan, -68.37, 197.95, 182.65, nan, -105.96, 243.15, 99.11, 191.05, 176.18, 18.11, 68.49, 181.98, -7.36, 44.4, -26.95, -122.59, -68.88, -126.64, 44.92, -78.5, nan, nan, nan, nan, 219.72, 165.69, 189.22, nan, nan, nan, nan, nan, nan, nan]",68.97257649847762,68.97257649847762,999.0,119.53242969971542,119.53242969971542,999.0,"[7694.55, 8082.12, 8782.99, 9020.23, 9656.37, 10068.32, 10643.37, 11225.91, 11728.04, 12131.11, 12638.46, 13154.58, 13805.89, 14192.59, 14637.0, 15302.34, 15722.42, 16099.84, 16769.86, 17188.55, 17699.68, 18267.81, 18641.61, 19208.69, 19470.76, 20064.63, 20802.92, 21208.34, 21705.9, 22140.34, 22711.87, 23213.85, 23681.23, 24288.77, 24694.55, 25194.55, 25694.55, 26194.55, 26694.55, 27194.55]","[7723.64, 8308.64, 8834.32, nan, nan, nan, 10575.0, 11423.86, 11910.68, nan, 12532.5, 13397.73, 13905.0, 14383.64, 14813.18, 15320.45, 15790.91, 16281.82, 16762.5, 17232.95, 17672.73, 18145.23, 18572.73, 19082.05, 19515.68, 19986.14, nan, nan, nan, nan, 22931.59, 23379.55, 23870.45, nan, nan, nan, nan, nan, nan, nan]","[nan, 585.0, 525.68, nan, nan, nan, nan, 848.86, 486.82, nan, nan, 865.23, 507.27, 478.64, 429.55, 507.27, 470.45, 490.91, 480.68, 470.45, 439.77, 472.5, 427.5, 509.32, 433.64, 470.45, nan, nan, nan, nan, nan, 447.95, 490.91, nan, nan, nan, nan, nan, nan, nan]"
213,5,9,jittering,500,25,0.2,"[0.0, 520.1859187528088, 870.8412916487907, 1521.408015956992, 1945.2579983307098, 2431.71812513717, 2989.746768843232, 3533.4251829323184, 4014.182737080011, 4491.4988243649, 4828.660371468982, 5538.746030527928, 6022.091556128252, 6526.708139567107, 6882.231711149512, 7572.56351951202, 7874.790664168924, 8526.66491919573, 9120.10923703683, 9504.208105362542, 9936.820646056927, 10457.79217005614, 11103.720493003619, 11555.525922511495, 12000.0, 12500.0, 13000.0, 13500.0, 14000.0, 14500.0]",21.432375,True,Good,1.011363636363967,False,All good,29.0,26,22,4,3.0,"[nan, nan, nan, -181.18, 20.88, -19.67, -107.25, -176.38, -137.59, -85.14, 39.98, -232.38, -67.32, -85.12, 46.18, -112.34, 176.57, 52.43, -211.7, 3.52, -79.32, 37.89, -250.08, 16.06, -99.09, -165.45, -145.91, -81.36, 118.18, nan]",-66.36916965840746,-65.95695257150659,-68.6363636363622,107.12973574824044,106.16542347172826,112.25846431301954,"[4131.36, 4651.55, 5002.2, 5652.77, 6076.62, 6563.08, 7121.11, 7664.79, 8145.55, 8622.86, 8960.02, 9670.11, 10153.46, 10658.07, 11013.6, 11703.93, 12006.15, 12658.03, 13251.47, 13635.57, 14068.18, 14589.16, 15235.08, 15686.89, 16131.36, 16631.36, 17131.36, 17631.36, 18131.36, 18631.36]","[nan, nan, nan, 5471.59, 6097.5, 6543.41, 7013.86, 7488.41, 8007.95, 8537.73, 9000.0, 9437.73, 10086.14, 10572.95, 11059.77, 11591.59, 12182.73, 12710.45, 13039.77, 13639.09, 13988.86, 14627.05, 14985.0, 15702.95, 16032.27, 16465.91, 16985.45, 17550.0, 18249.55, nan]","[nan, nan, nan, nan, 625.91, 445.91, 470.45, 474.55, 519.55, 529.77, 462.27, 437.73, 648.41, 486.82, 486.82, 531.82, 591.14, 527.73, 329.32, 599.32, 349.77, 638.18, 357.95, 717.95, 329.32, 433.64, 519.55, 564.55, 699.55, nan]"
213,6,6,sampling,500,35,0.25,"[0.0, 659.0078447867763, 905.553318192136, 1243.1753293776128, 1648.1929728485452, 2107.2548544970773, 2421.890286902821, 2809.7119675729746, 3275.4389491406737, 3717.1021172922824, 4110.471060841018, 4691.70959811111, 5260.0302327190475, 5649.399676019686, 6301.91980730377, 6726.190084912037, 7152.963181414957, 7602.074954583008, 8087.170630767193, 8565.86851321957, 9276.311845877495, 9749.210854810495, 10389.792222457007, 11008.88736132131, 11719.270615068743, 12186.012123933875, 12791.174169885739, 13201.052715248607, 13561.094391580218, 14098.035044464665, 14447.494113259621, 14824.336387655341, 15324.755412468206, 15993.819894221577, 16500.0, 17000.0, 17500.0, 18000.0, 18500.0, 19000.0]",25.932375,False,Bad,0.0,True,Not all markers detected,38.0,22,22,0,16.0,"[-132.5, 36.9, nan, -76.81, -11.37, -12.25, 129.25, nan, nan, nan, nan, nan, 11.56, 4.69, -257.15, nan, nan, nan, nan, nan, -56.99, -8.3, -202.97, 18.61, -245.86, 201.72, -25.04, -103.55, 41.63, -63.72, 12.28, 85.44, -16.12, nan, nan, nan, nan, nan, nan, nan]",-30.480499534516618,-30.480499534516618,999.0,108.39640420407912,108.39640420407912,999.0,"[8248.86, 8907.87, 9154.42, 9492.04, 9897.06, 10356.12, 10670.75, 11058.58, 11524.3, 11965.97, 12359.33, 12940.57, 13508.89, 13898.26, 14550.78, 14975.05, 15401.83, 15850.94, 16336.03, 16814.73, 17525.18, 17998.07, 18638.66, 19257.75, 19968.13, 20434.88, 21040.04, 21449.92, 21809.96, 22346.9, 22696.36, 23073.2, 23573.62, 24242.68, 24748.86, 25248.86, 25748.86, 26248.86, 26748.86, 27248.86]","[8116.36, 8944.77, nan, 9415.23, 9885.68, 10343.86, 10800.0, nan, nan, nan, nan, nan, 13520.45, 13902.95, 14293.64, nan, nan, nan, nan, nan, 17468.18, 17989.77, 18435.68, 19276.36, 19722.27, 20636.59, 21015.0, 21346.36, 21851.59, 22283.18, 22708.64, 23158.64, 23557.5, nan, nan, nan, nan, nan, nan, nan]","[nan, 828.41, nan, nan, 470.45, 458.18, 456.14, nan, nan, nan, nan, nan, nan, 382.5, 390.68, nan, nan, nan, nan, nan, nan, 521.59, 445.91, 840.68, 445.91, 914.32, 378.41, 331.36, 505.23, 431.59, 425.45, 450.0, 398.86, nan, nan, nan, nan, nan, nan, nan]"
213,7,16,jittering,400,35,0.25,"[0.0, 321.18773837784124, 778.6947223031507, 1268.3132681514394, 1618.394246225682, 1961.5352392327288, 2434.4710165244155, 2640.231850172228, 3131.224967715379, 3525.1023599087653, 3987.9265739873504, 4455.3543062702665, 4775.788847150076, 5266.862979523614, 5565.203219909655, 5880.04417818676, 6372.454981737911, 6849.771261300732, 7198.659500263479, 7601.348643712922, 8004.979831493047, 8271.926689792535, 8766.088230911679, 9134.09729933493, 9748.950297255731, 9996.684633194289, 10312.023752318035, 10881.369668700465, 11241.586747912841, 11619.256128053936, 12021.004368014534, 12414.821976365054, 12706.195471912288, 13288.985530664278, 13600.0, 14000.0, 14400.0, 14800.0, 15200.0, 15600.0]",22.432375,True,Good,0.7840909090919013,False,All good,40.0,31,26,5,9.0,"[nan, nan, nan, nan, -108.39, -42.44, -143.11, 107.27, -54.41, nan, nan, nan, -54.43, -140.5, -31.79, 82.91, 126.41, 47.96, 112.25, 81.83, 75.02, 155.8, -45.86, 3.4, nan, -55.32, 11.84, -19.55, 76.37, nan, 133.54, 28.13, 166.3, 98.97, 53.86, -94.55, -40.45, 23.86, 57.5, -72.5]",17.416989868137804,25.617809598024373,-25.227272727272368,85.64233505260646,87.7071900881144,57.48966849331362,"[4086.36, 4407.55, 4865.06, 5354.68, 5704.76, 6047.9, 6520.83, 6726.6, 7217.59, 7611.47, 8074.29, 8541.72, 8862.15, 9353.23, 9651.57, 9966.41, 10458.82, 10936.13, 11285.02, 11687.71, 12091.34, 12358.29, 12852.45, 13220.46, 13835.31, 14083.05, 14398.39, 14967.73, 15327.95, 15705.62, 16107.37, 16501.19, 16792.56, 17375.35, 17686.36, 18086.36, 18486.36, 18886.36, 19286.36, 19686.36]","[nan, nan, nan, nan, 5596.36, 6005.45, 6377.73, 6833.86, 7163.18, nan, nan, nan, 8807.73, 9212.73, 9619.77, 10049.32, 10585.23, 10984.09, 11397.27, 11769.55, 12166.36, 12514.09, 12806.59, 13223.86, nan, 14027.73, 14410.23, 14948.18, 15404.32, nan, 16240.91, 16529.32, 16958.86, 17474.32, 17740.23, 17991.82, 18445.91, 18910.23, 19343.86, 19613.86]","[nan, nan, nan, nan, nan, 409.09, 372.27, 456.14, 329.32, nan, nan, nan, nan, 405.0, 407.05, 429.55, 535.91, 398.86, 413.18, 372.27, 396.82, 347.73, 292.5, 417.27, nan, nan, 382.5, 537.95, 456.14, nan, nan, 288.41, 429.55, 515.45, 265.91, 251.59, 454.09, 464.32, 433.64, 270.0]"
213,8,1,sampling,500,25,0.2,"[0.0, 379.1867520581261, 763.6208546510811, 1299.5434380198105, 1756.8323470299952, 2233.3242467381056, 2680.7698353935166, 3324.151514951834, 3758.6730206779425, 4256.308832808907, 4739.929692810924, 5114.401698430824, 5630.445164821111, 6096.863948357655, 6840.622007174596, 7306.174165481402, 7863.873842897036, 8531.404076836581, 8941.292178247466, 9348.752981397254, 9842.042761767056, 10343.119157322495, 10963.11986160366, 11582.217286722667, 12000.0, 12500.0, 13000.0, 13500.0, 14000.0, 14500.0]",21.432375,True,Good,2.397727272727934,False,All good,30.0,22,17,5,8.0,"[nan, nan, nan, nan, 160.21, 17.13, -80.54, -28.47, -111.17, nan, -124.93, -16.67, -131.81, 189.27, -94.26, -117.99, nan, nan, nan, -78.3, -103.18, -150.16, 138.02, 26.19, 82.95, 75.91, 70.91, 61.82, -76.14, 192.95]",-4.466266931783189,-24.924259879633585,65.09090909090817,108.84764269160719,106.51980019144085,85.38834476371798,"[4137.5, 4516.69, 4901.12, 5437.04, 5894.33, 6370.82, 6818.27, 7461.65, 7896.17, 8393.81, 8877.43, 9251.9, 9767.95, 10234.36, 10978.12, 11443.67, 12001.37, 12668.9, 13078.79, 13486.25, 13979.54, 14480.62, 15100.62, 15719.72, 16137.5, 16637.5, 17137.5, 17637.5, 18137.5, 18637.5]","[nan, nan, nan, nan, 6054.55, 6387.95, 6737.73, 7433.18, 7785.0, nan, 8752.5, 9235.23, 9636.14, 10423.64, 10883.86, 11325.68, nan, nan, nan, 13407.95, 13876.36, 14330.45, 15238.64, 15745.91, 16220.45, 16713.41, 17208.41, 17699.32, 18061.36, 18830.45]","[nan, nan, nan, nan, nan, 333.41, 349.77, 695.45, 351.82, nan, nan, 482.73, 400.91, 787.5, 460.23, 441.82, nan, nan, nan, nan, 468.41, 454.09, 908.18, 507.27, 474.55, 492.95, 495.0, 490.91, 362.05, 769.09]"
213,9,11,jittering,400,25,0.2,"[0.0, 392.3299421324064, 873.3286667446015, 1101.6316363980434, 1616.2767177581973, 1911.9073938581055, 2401.015865541242, 2826.831880641608, 3261.9393171917263, 3654.4709522936287, 3947.8067866186248, 4387.640065215435, 4886.183694971786, 5117.4816164895055, 5613.84369151323, 5942.002981068643, 6458.172554354092, 6797.622521681836, 7180.882913900058, 7615.1664028586065, 7968.933756828293, 8385.768034698736, 8842.529472042872, 9101.177004914005, 9200.0, 9600.0, 10000.0, 10400.0, 10800.0, 11200.0]",18.032375,True,Good,1.7159090909099177,False,All good,26.0,19,18,1,7.0,"[nan, nan, nan, 62.69, -53.09, 60.37, 143.98, 106.8, 97.15, 138.26, 135.38, 137.36, 19.27, nan, 27.97, -32.23, -110.67, 28.51, 19.57, 47.56, 113.11, nan, nan, -25.04, nan, nan, nan, nan, 102.73, nan]",53.6671410828767,50.94157821374362,999.0,70.8701687792381,71.83639693506737,999.0,"[4174.32, 4566.65, 5047.65, 5275.95, 5790.59, 6086.23, 6575.33, 7001.15, 7436.26, 7828.79, 8122.12, 8561.96, 9060.5, 9291.8, 9788.16, 10116.32, 10632.49, 10971.94, 11355.2, 11789.48, 12143.25, 12560.09, 13016.85, 13275.5, 13374.32, 13774.32, 14174.32, 14574.32, 14974.32, 15374.32]","[nan, nan, nan, 5338.64, 5737.5, 6146.59, 6719.32, 7107.95, 7533.41, 7967.05, 8257.5, 8699.32, 9079.77, nan, 9816.14, 10084.09, 10521.82, 11000.45, 11374.77, 11837.05, 12256.36, nan, nan, 13250.45, nan, nan, nan, nan, 15077.05, nan]","[nan, nan, nan, nan, 398.86, 409.09, 572.73, 388.64, 425.45, 433.64, 290.45, 441.82, 380.45, nan, nan, 267.95, 437.73, 478.64, 374.32, 462.27, 419.32, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
213,10,9,jittering,500,25,0.2,"[0.0, 473.88243013500517, 1031.0452423921563, 1343.838131167391, 1944.6814666581395, 2413.04628476119, 2912.1910517639944, 3435.9569176342393, 3883.6938826402416, 4548.822994680273, 5014.291713451033, 5383.569742787231, 5965.930642137541, 6419.677709040841, 7093.244230002463, 7505.576451682659, 7888.645900458547, 8480.14017605185, 9040.563065936594, 9525.324141357954, 10007.644224130945, 10435.51754148595, 11013.681940015516, 11450.972141651622, 12000.0, 12500.0, 13000.0, 13500.0, 14000.0, 14500.0]",21.432375,True,Good,1.6931818181838025,False,All good,33.0,26,21,5,7.0,"[nan, nan, -196.05, -112.02, 84.86, 52.18, 5.08, nan, -27.56, -267.23, nan, 178.48, 39.98, 3.5, -177.11, -96.49, 44.08, -115.82, -168.97, -191.46, 125.99, 186.98, 9.73, 26.53, -99.09, -75.45, -31.36, -110.0, -205.0, 141.82]",-37.4768411497693,-33.06656523304781,-55.999999999999545,123.04838231108198,124.65286141501407,114.22299489149817,"[4139.55, 4613.43, 5170.59, 5483.38, 6084.23, 6552.59, 7051.74, 7575.5, 8023.24, 8688.37, 9153.84, 9523.12, 10105.48, 10559.22, 11232.79, 11645.12, 12028.19, 12619.69, 13180.11, 13664.87, 14147.19, 14575.06, 15153.23, 15590.52, 16139.55, 16639.55, 17139.55, 17639.55, 18139.55, 18639.55]","[nan, nan, 4974.55, 5371.36, 6169.09, 6604.77, 7056.82, nan, 7995.68, 8421.14, nan, 9701.59, 10145.45, 10562.73, 11055.68, 11548.64, 12072.27, 12503.86, 13011.14, 13473.41, 14273.18, 14762.05, 15162.95, 15617.05, 16040.45, 16564.09, 17108.18, 17529.55, 17934.55, 18781.36]","[nan, nan, nan, 396.82, 797.73, 435.68, 452.05, nan, nan, 425.45, nan, nan, 443.86, 417.27, 492.95, 492.95, 523.64, 431.59, 507.27, 462.27, 799.77, 488.86, 400.91, 454.09, 423.41, 523.64, 544.09, 421.36, 405.0, 846.82]"
